protein_source,protein_target,score
MYB20,FER2,0.662
AT1G21550,CPK29,0.824
AT1G21550,MYB20,0.662
MYB20,CPK29,0.662
ABCC14,ABCE2,0.64
ABCC14,ABCF1,0.714
ABCC14,RPT3,0.685
ABCE2,ABCF1,0.933
PA200,ABCC14,0.67
PA200,RPT3,0.987
RLP9,AT4G09420,0.852
AT5G50520,AT5G50630.1,0.842
AT1G15130,AT3G10300,0.893
AT1G15130,DEK1,0.854
AT1G24620,AT3G10300,0.803
AT1G24620,AT3G24110,0.64
AT3G10300,AT3G24110,0.799
AT3G10300,AT4G03290,0.808
AT3G10300,UNE14,0.805
DEK1,AT3G10300,0.982
RLP30,AT4G28350,0.79
SPL3,AT4G28350,0.497
HAF2,TAF11,0.996
HAF2,TAF4,0.993
TAF11,TAF4,0.999
AT1G63840,DR4,0.659
AT2G16660,AT5G62730,0.858
DR4,AT2G16660,0.637
DR4,AT5G62730,0.638
GLR3.6,SWEET10,0.519
STP9,SUC8,0.642
SUC8,GLR3.6,0.591
SUC8,STP6,0.619
SUC8,SWEET10,0.633
MCA2,MSL2,0.618
MSL3,MCA2,0.588
MSL4,ATSPO11-1,0.634
MSL4,MCA2,0.746
MSL4,MSL2,0.724
MSL4,MSL3,0.807
MSL4,MYB36,0.594
AAP8,APX6,0.627
AAP8,AT2G41190,0.614
AAP8,CAT6,0.923
AAP8,CAT7,0.609
AAP8,OCP3,0.642
AAP8,PTR2,0.803
AAP8,RMR1,0.6
AAP8,SIAR1,0.615
APX6,OCP3,0.789
CAT6,RMR1,0.643
CAT7,RMR1,0.593
SIAR1,CAT6,0.637
AT1G11200,ATG8B,0.515
AT1G11200,ATG8G,0.535
AT4G20100,AT5G40670,0.67
LD,AT4G20100,0.647
RSY3,AT4G20100,0.617
AT2G41760,ATE2,0.901
AMT1;2,DUR3,0.74
AMT1;2,GLB1,0.92
AMT1;2,GLT1,0.788
AMT1;2,GLU1,0.747
AMT1;2,NRAMP5,0.69
AMT1;2,NRT2.4,0.715
DUR3,NRT2.4,0.508
GLB1,GLT1,0.845
GLB1,GLU1,0.863
GLB1,NRT2.4,0.427
GLU1,GLT1,0.827
NRT2.2,AMT1;2,0.684
NRT2.2,DUR3,0.612
NRT2.2,GLB1,0.427
NRT2.2,GLT1,0.671
NRT2.2,GLU1,0.709
NRT2:1,AMT1;2,0.699
NRT2:1,DUR3,0.612
NRT2:1,GLB1,0.52
NRT2:1,GLT1,0.693
NRT2:1,GLU1,0.753
AT1G71480,AT3G20015,0.928
AT1G71480,CP33,0.827
AT3G20015,CP33,0.7
AT1G12460,AT1G56120,0.831
AT1G12460,AT1G67510,0.831
AT1G12460,AT3G21340,0.831
AT1G12460,AT4G29450,0.831
AT1G12460,BAK1,0.831
AT1G12460,IOS1,0.831
AT1G12460,PSKR1,0.831
AT1G67510,BAK1,0.805
AT1G67510,PSKR1,0.803
IOS1,BAK1,0.731
PSKR1,BAK1,0.901
ABI1,RBOHD,0.623
ABI1,SLAH3,0.626
CBL1,ABI1,0.45
CBL1,RBOHD,0.627
CBL1,SLAH3,0.592
CPK6,ABI1,0.652
CPK6,CBL1,0.667
CPK6,RBOHD,0.864
CPK6,SLAH2,0.709
