,CIB5
LKP2,3.2349
CRY1,3.2289
CRY2,3.2103
HY5,3.1986
SPA1,3.0902
HFR1,3.0746
ZTL,2.9987
PIF4,2.8844
CIB5,2.8142
LHCB4.2,2.6762
LHCB5,2.6681
TIC,2.6613
SRR1,2.6265
COP1,2.622
LHCB6,2.6164
LHCA3,2.5514
NPH3,2.5348
PRXQ,2.5321
PHOT1,2.4997
BNQ2,2.4544
LAF1,2.4213
DET1,2.3907
GI,2.3876
LHCA2,2.3519
BNQ3,2.351
LHCB3,2.3166
AT3G11630,2.2786
DDB1A,2.2468
LHCB4.1,2.2104
PRE1,2.2026
PSBC,2.1989
CaMK4,2.1504
DOF5.5,2.1504
PSBI,2.1427
PSBL,2.1385
LHCA1,2.1319
DDB2,2.1251
PHOT2,2.1071
PSBE,2.1039
FHY1,2.0984
FKF1,2.0604
PKS1,2.0587
NTRC,2.0559
PSBF,2.0538
PAD2,2.043
PIL6,2.0098
APC6,2.0053
LSH7,1.9951
FRS5,1.9879
ddf2,1.9737
PSBA,1.9553
PSBB,1.9438
At5g06290,1.9233
PSBH,1.8883
WEB1,1.87
YCF9,1.8626
TPC1,1.8591
PIL5,1.8529
LIP1,1.8525
Lhca5,1.8495
PSBD,1.8457
AT5G48560,1.843
GLR2.3,1.8303
PSAL,1.8298
APC8,1.8261
OHP2,1.8228
FHY3,1.8083
CIP1,1.8041
MCM5,1.803
LQY1,1.7988
DDB1B,1.7929
AT1G10120,1.7629
OHP,1.7547
CAB3,1.751
DND1,1.7449
DPA,1.7394
CDC27a,1.739
FCAALL.134,1.7296
SOM,1.7245
CUL1,1.7208
PIF3,1.716
PSBK,1.7117
PER1,1.7108
HB-2,1.6984
PMI2,1.6789
FHL,1.6453
SEC6,1.6418
LOL2,1.6379
RGLG1,1.6324
APC7,1.6314
SEC10,1.6211
FRS4,1.6126
RIC3,1.6105
AUX1,1.5825
RHD2,1.5787
CYCD4;2,1.5757
XCT,1.5703
FTSH8,1.5676
AT3G56760,1.5662
AT4G32060,1.554
AT1G09575,1.5407
At2g41560,1.5341
MYB36,1.5057
AFB3,1.5035
MCM3,1.4921
AT3G19100,1.4896
KDR,1.4891
EHB1,1.4835
LHB1B2,1.4644
DCAF1,1.464
COP9,1.4638
DEL2,1.463
AT4G18250,1.4561
LHCB2.2,1.4559
HYH,1.4538
AT2G23790,1.4486
MEE34,1.4478
AT1G21550,1.4476
COP13,1.4457
FUS9,1.4442
DAG1,1.4364
SHB1,1.4108
GLR2.9,1.3978
AT1G57610,1.3805
PLP3b,1.3779
IAA19,1.3766
AT1G67210,1.3713
GLR1.3,1.3694
LSH6,1.3614
TIR1,1.3604
GLR3.4,1.353
LSH5,1.3492
PIF7,1.3476
TIL1,1.3309
LHCB2.3,1.3173
ILP1,1.3101
MYB20,1.3099
GAPA,1.3041
ESC,1.3033
RALFL8,1.3011
GLUR2,1.2975
AT3G23090,1.2931
STIPL1,1.292
AT4G14480,1.2919
AT1G12310,1.283
GLR5,1.2776
AT4G26470,1.2752
FIM1,1.2742
FRS3,1.2651
SP1L2,1.2645
AT5G66650,1.257
RPN13,1.253
GLR1.4,1.2497
LHB1B1,1.2496
RALFL9,1.2485
CYCA3;1,1.2474
ATE2F2,1.2474
SOB3,1.2458
COL1,1.2366
RAD23B,1.2317
RPT2a,1.2307
MCM4,1.2235
STN8,1.2213
HRB1,1.2208
CML37,1.2201
PRXIIC,1.218
AT3G54500,1.2144
AT3G47480,1.2123
CHLI1,1.212
CML41,1.2119
RPT2b,1.2088
SPA2,1.2085
DSK2,1.2049
PIN5,1.1981
WPP3,1.1946
ELO1,1.1887
ckl3,1.1872
AT5G39670,1.1864
PP2A-3,1.1842
AT3G01830,1.1832
RPT3,1.1781
FRS2,1.1769
ECA1,1.1685
AT2G41410,1.168
ABCB1,1.1662
AT5G64170,1.156
ABCI21,1.1553
FRS11,1.1553
RALFL32,1.1533
RALFL24,1.1533
ckl4,1.152
AT3G24110,1.1504
NET2D,1.15
GUN5,1.1484
EDA3,1.1465
AT3G03410,1.1422
RSL4,1.14
RAD23A,1.1329
CAX1,1.1321
DDI1,1.131
