,0
0,ARP4
1,CHR11
2,PYM
3,ABO1
4,TOE2
5,ACT2
6,ELP2
7,ACT11
8,ARF18
9,ELP6
10,THI1
11,HO3
12,GLR2.1
13,ZFHD1
14,MOB1-like
15,GLR1.1
16,GLR2.7
17,ACT8
18,ROS3
19,ZFP7
20,TAF11
21,MAC3B
22,LSH2
23,LSH1
24,SMU1
25,IDD1
26,EMB2813
27,ECR1
28,DFL2
29,CRH1
30,MYC3
31,FRA1
32,ZFP4
33,AT2G47890
34,AGO1
35,AT1G48950
36,GRH1
37,RGLG1
38,AT3G56760
39,AFB3
40,LSH6
41,GAPA
42,RALFL8
43,FRS3
44,AT5G66650
45,RALFL9
46,RAD23B
47,RPT2a
48,CML37
49,AT3G54500
50,AT3G47480
51,CHLI1
52,RPT2b
53,SPA2
54,DSK2
55,PIN5
56,WPP3
57,AT5G39670
58,AT3G01830
59,RPT3
60,FRS2
61,ABCB1
62,ABCI21
63,FRS11
64,RALFL32
65,RALFL24
66,AT3G24110
67,NET2D
68,GUN5
69,EDA3
70,AT3G03410
71,RAD23A
72,CAX1
73,DDI1
