,CIB5
CRY1,3.441
HY5,3.3518
LKP2,3.3274
CRY2,3.3143
HFR1,3.2853
ZTL,3.2339
SPA1,3.2183
CIB5,3.1019
PIF4,2.9842
PHOT1,2.7639
GI,2.6533
SRR1,2.6485
COP1,2.6113
NPH3,2.6062
TIC,2.598
LAF1,2.578
FHY1,2.5604
PRXQ,2.5141
MCM5,2.4689
LHCB5,2.4443
LHCA3,2.429
LHCB4.2,2.413
DOF5.5,2.4055
DND1,2.3267
PAD2,2.3208
PHOT2,2.3143
BNQ3,2.2962
LHCB6,2.2951
DET1,2.2662
FKF1,2.2458
AT3G11630,2.2157
DDB1A,2.1868
LOL2,2.1704
LHCB3,2.1528
CaMK4,2.1494
PKS1,2.1438
PSBC,2.0777
LHCA1,2.0756
DDB2,2.0424
PIL6,2.0345
PSBI,2.0317
CUL1,2.0204
NTRC,2.005
PSBL,2.004
PSBE,1.9914
LHCB4.1,1.9869
BNQ2,1.9793
AT5G48560,1.979
MCM3,1.9768
ddf2,1.9633
FHY3,1.9542
GLR2.3,1.9363
At2g41560,1.9357
PIL5,1.9287
PSBF,1.9269
At5g06290,1.9211
LSH7,1.9194
FRS5,1.9101
AUX1,1.9061
LIP1,1.8993
OHP2,1.8955
SOM,1.8773
Lhca5,1.8675
LHCA2,1.8585
SHB1,1.8538
ARP4,1.8523
WEB1,1.8434
APC6,1.8428
PSBA,1.8334
AT1G10120,1.8252
PSBB,1.8241
DPA,1.8176
TIL1,1.8157
OHP,1.8154
PSAL,1.8133
IAA19,1.7812
HB-2,1.7804
LQY1,1.7801
PSBH,1.7752
FCAALL.134,1.7731
TPC1,1.7717
PSBD,1.7516
FHL,1.7461
YCF9,1.7403
TIR1,1.7391
CIP1,1.7364
PIF3,1.7244
XCT,1.7176
SEC6,1.7
PER1,1.6915
APC8,1.6904
PMI2,1.687
CHR11,1.687
DDB1B,1.6661
ILP1,1.6535
CYCD4;2,1.6472
LSH5,1.6334
CDC27a,1.6228
ELO1,1.6182
PSBK,1.612
PYM,1.6097
GLR1.4,1.6096
GLR1.3,1.5877
GLR2.9,1.5853
GLUR2,1.5848
KDR,1.5821
SEC10,1.5819
CAB3,1.5774
STIPL1,1.5763
SOB3,1.5758
AT3G19100,1.5754
EHB1,1.5701
HYH,1.5586
MCM4,1.5555
GLR3.4,1.5436
SP1L2,1.537
ESC,1.5318
DAG1,1.5224
AT1G09575,1.5149
MEE34,1.5126
STN8,1.5037
HRB1,1.4989
APC7,1.4929
ABO1,1.4911
COP9,1.4873
AT4G32060,1.4825
DEL2,1.4818
TOE2,1.4755
AT1G21550,1.4641
AT1G67210,1.4541
FIM1,1.4532
FRS4,1.4519
AT2G23790,1.4444
ACT2,1.4419
COP13,1.4414
DCAF1,1.4319
PIF7,1.4194
ELP2,1.4185
RHD2,1.4173
AT1G57610,1.4053
GLR5,1.4019
FTSH8,1.3954
ACT11,1.3766
ARF18,1.376
LHB1B2,1.3752
ELP6,1.3706
FUS9,1.3694
AT3G23090,1.3684
PP2A-3,1.3681
THI1,1.3551
ATE2F2,1.3549
CYCA3;1,1.3549
MYB20,1.3537
LHCB2.2,1.3495
COL1,1.3404
AT4G14480,1.3306
HO3,1.3294
GLR2.1,1.3258
ZFHD1,1.3198
MOB1-like,1.3154
PRE1,1.3147
PLP3b,1.3002
MYB36,1.2963
GLR1.1,1.2911
GLR2.7,1.2739
AT1G12310,1.2687
ACT8,1.2686
ROS3,1.262
ZFP7,1.2593
TAF11,1.2522
AT4G26470,1.2496
RIC3,1.2479
MAC3B,1.2456
LHCB2.3,1.2454
ckl3,1.245
PRXIIC,1.2429
ECA1,1.2396
LSH2,1.2326
CML41,1.2307
LSH1,1.229
SMU1,1.2251
RSL4,1.2158
IDD1,1.2115
EMB2813,1.2114
ECR1,1.207
DFL2,1.1968
CRH1,1.1967
MYC3,1.1954
AT2G41410,1.1904
AT4G18250,1.1807
FRA1,1.1734
ZFP4,1.1721
AT2G47890,1.172
LHB1B1,1.1679
RPN13,1.1637
AGO1,1.1634
ckl4,1.1587
AT1G48950,1.1585
AT5G64170,1.1541
GRH1,1.1538
