,CLC-F
HKT1,9.1253
KT2/3,8.1084
AKT1,7.8469
CLC-E,6.6387
CLC-B,6.6381
CLC-C,6.573
KAT3,6.4684
HAK5,6.3814
CLC-F,6.3693
NHX2,6.2343
KCO6,6.1936
KEA3,5.8064
AT5G33280,5.72
KCO5,5.6662
KUP11,5.6137
TPK4,5.5667
SKOR,5.5637
NRT2:1,5.2121
TRH1,5.1143
NRT2.4,5.1093
CIPK23,5.081
WR3,5.0655
SOS3,5.0458
KUP6,4.9085
KEA6,4.8178
KAT2,4.7747
KUP1,4.6571
NHX1,4.6423
ALMT12,4.5656
SLAH1,4.5221
CLC-D,4.4765
KCO3,4.3723
CBL1,4.3342
NRT1.1,4.2911
NRT2.5,4.2672
AT1G60160,4.2356
NRT2.2,4.2139
KEA1,4.2015
AMT1;5,4.1747
KUP3,4.1301
SPIK,4.1141
GORK,4.1076
NRT2.7,4.039
KUP10,3.9674
KAT1,3.9536
MSL3,3.8685
AMT2,3.8321
KUP9,3.8292
SLAH2,3.7423
KCO1,3.735
AMT1;4,3.7035
GLB1,3.6941
TDT,3.689
AT3G45710,3.6688
TPC1,3.6347
PHT2;1,3.6119
NRT1.5,3.5835
KT5,3.5683
ALMT9,3.5665
NRT1.7,3.547
CNGC15,3.5431
AT1G49960,3.5423
CHX17,3.5192
AT4G22990,3.5102
KUP7,3.5088
MCA2,3.4966
CNGC10,3.4938
MSL2,3.422
KT2,3.4023
ATCHX13,3.3857
CHX23,3.364
SOS1,3.348
SIP3,3.346
EIN2,3.3426
CBL10,3.3384
AMT1;1,3.2467
CNGC19,3.2328
CNGC13,3.2279
KAB1,3.186
AT3G45700,3.1232
CNBT1,3.1186
KUP5,3.08
CNGC14,3.0633
OZS1,3.0605
GLU1,3.0415
CPK21,3.0263
CNGC9,3.0076
AT2G26690,2.9537
NRT1.6,2.952
DIT2.1,2.9508
GLR2.1,2.9344
PHT4;3,2.9311
MSL9,2.9208
PHT4;1,2.9101
AT3G21670,2.9015
CNGC3,2.8937
CHX20,2.883
AT5G17850,2.8793
GLR1.4,2.8401
TAAC,2.8267
NRT2.6,2.8227
CNGC6,2.7923
SLAH4,2.7751
LrgB,2.7507
NRT2.3,2.7132
CBL9,2.6881
GLR1.1,2.6637
DiT1,2.6465
PHT4;5,2.6053
MCA1,2.5897
AT3G45660,2.5864
AT3G45720,2.5795
NIP6;1,2.579
CNGC16,2.5735
GLUR2,2.5539
SLAH3,2.5172
CNGC11,2.5132
MHX,2.5128
AT3G16180,2.5113
CBL7,2.4798
CAM7,2.4597
ALMT6,2.4409
VSR1,2.3988
MSL10,2.3964
AT2G27240,2.3633
TOC75-III,2.3615
At4g21210,2.3544
NAXT1,2.3457
CNGC1,2.3396
MSL5,2.3361
AT5G14880,2.311
AT1G72130,2.2761
AT5G49960,2.2346
PPCK2,2.2299
PHT1;6,2.2257
AT3G56160,2.209
NRT1.9,2.2087
ERD4,2.2059
AMT1;3,2.1945
CNGC7,2.1937
CRK1,2.1897
TIP3;1,2.1743
UMAMIT1,2.1599
NIP1;2,2.1403
AT5G42960,2.1383
SIP4,2.1295
SULTR1;2,2.1236
AT2G17000,2.0745
SULTR4;1,2.0451
GLR3.4,2.0449
AT4G00290,2.0309
VSR7,2.0267
AT4G04340,2.0263
CAM6,2.0254
AT2G25520,2.0221
UMAMIT21,2.0156
AT1G45170,1.975
GLT1,1.9736
CPK23,1.9647
ProT3,1.9609
GLR2,1.9585
AMT1;2,1.9534
CAX1,1.9508
CAM5,1.9488
SULTR1;1,1.9406
CUE1,1.9144
PHT1;2,1.9067
AST91,1.8992
TIC40,1.8956
AT1G73020,1.8846
AT5G02170,1.8819
SULTR3;1,1.8783
SULTR1;3,1.8772
G3Pp4,1.8735
ANTR2,1.8659
UCP2,1.864
UPS4,1.8584
CIPK20,1.8497
OEP80,1.8465
CNGC8,1.8445
VSR3,1.8345
MGT6,1.8293
AT4G14480,1.8183
CBL3,1.8067
RMR1,1.7989
PIP2A,1.7988
CBL2,1.7897
MSL6,1.7881
AT2G05760,1.7848
CAX3,1.7789
PTR6,1.7732
ECA1,1.7711
GLR2.3,1.7707
CYP81D11,1.7674
AT4G00234,1.7531
AT5G58330,1.7366
AT3G45690,1.7136
SIP1;2,1.6968
AT1G68600,1.6954
Tic20-I,1.6946
