,CLC-F
HKT1,8.9954
KT2/3,7.9227
AKT1,7.7346
CLC-E,6.7365
CLC-C,6.6054
CLC-B,6.4341
CLC-F,6.3985
HAK5,6.3669
KAT3,6.3424
KCO6,6.2325
NHX2,6.1784
AT5G33280,5.751
KEA3,5.7254
SKOR,5.5565
KCO5,5.5542
TPK4,5.537
KUP11,5.4783
WR3,5.389
NRT2:1,5.3877
NRT2.4,5.2708
CIPK23,5.0184
TRH1,5.0118
SOS3,4.9554
KUP6,4.8086
KEA6,4.7524
NHX1,4.7412
KAT2,4.7402
CLC-D,4.6313
KUP1,4.5739
SLAH1,4.5323
NRT1.1,4.4673
ALMT12,4.431
NRT2.2,4.4136
AMT1;5,4.4104
NRT2.5,4.3896
KCO3,4.3386
SPIK,4.2993
CBL1,4.2556
KEA1,4.2533
AT1G60160,4.1592
NRT2.7,4.1358
GORK,4.1085
KUP3,4.0955
AMT2,4.0419
KUP10,3.9175
GLB1,3.912
MSL3,3.8943
KAT1,3.8855
KCO1,3.8322
AMT1;4,3.8196
MCA2,3.8053
KUP9,3.7726
TPC1,3.7498
NRT1.7,3.7471
NRT1.5,3.7441
SLAH2,3.6982
AT3G45710,3.646
KT5,3.6419
CNGC10,3.631
CNGC15,3.5833
AT1G49960,3.5598
CHX23,3.5412
ALMT9,3.509
KUP7,3.5016
MSL2,3.4999
AMT1;1,3.4983
CHX17,3.4665
PHT2;1,3.4558
AT4G22990,3.4389
KT2,3.4169
ATCHX13,3.4144
KUP5,3.3954
EIN2,3.3535
TDT,3.3372
SOS1,3.295
MSL9,3.29
CNGC13,3.2853
CNGC19,3.2722
CBL10,3.2523
SIP3,3.2191
CNGC9,3.142
AT3G45700,3.1336
GLU1,3.1236
CNBT1,3.1099
KAB1,3.0981
AT2G26690,3.0864
NRT1.6,3.062
AT5G17850,3.0183
CNGC14,3.0164
PHT4;1,2.9917
CNGC3,2.987
CPK21,2.9799
NRT2.6,2.9551
AT3G21670,2.9484
TOC75-III,2.947
GLR2.1,2.9291
OZS1,2.9272
PHT4;3,2.9109
NIP6;1,2.8905
DIT2.1,2.8726
NRT2.3,2.8646
SLAH4,2.8335
CHX20,2.8248
MCA1,2.8116
GLR1.4,2.8102
GLR1.1,2.7298
CNGC6,2.7075
GLUR2,2.685
CNGC16,2.6762
TAAC,2.6675
MSL10,2.6274
CBL9,2.6012
PHT4;5,2.5996
AT3G16180,2.5994
DiT1,2.5878
AT3G45720,2.5697
CNGC7,2.5352
CNGC11,2.5304
MHX,2.5302
AT3G45660,2.5275
AMT1;3,2.4945
TIC40,2.4512
MSL5,2.4504
SLAH3,2.4492
LrgB,2.4468
CAM7,2.4306
CBL7,2.4212
NAXT1,2.3976
OEP80,2.3823
NRT1.9,2.3396
AT2G17000,2.316
SULTR1;2,2.2716
AT5G42960,2.2646
AT4G00290,2.2592
CAX1,2.2591
PHT1;6,2.2501
AT5G14880,2.2474
AT5G49960,2.2241
CNGC1,2.2241
VSR7,2.2076
ALMT6,2.1962
UMAMIT1,2.1711
VSR1,2.1675
AT2G27240,2.1587
Tic20-I,2.1587
AT1G73020,2.1561
CRK1,2.1425
AT1G45170,2.141
GLR3.4,2.1388
UMAMIT21,2.1339
AT4G04340,2.1051
ERD4,2.1005
TIP3;1,2.0839
CAM6,2.0699
NIP1;2,2.067
GLT1,2.0632
TIC110,2.0603
ECA1,2.0508
PPCK2,2.0485
PIP2A,2.0482
At4g21210,2.0374
GLR2,2.03
CIPK20,2.0282
AST91,2.0279
CAX3,2.0273
SIP4,2.0093
CNGC8,1.9983
TOC159,1.995
ProT3,1.9805
MSL6,1.9754
ANTR2,1.9608
AMT1;2,1.9535
CUE1,1.9417
AT3G45690,1.9363
CAM5,1.9337
ETP2,1.9097
TOC34,1.9081
CPK23,1.8998
SULTR1;3,1.893
AT5G02170,1.8907
AT2G25520,1.886
AT2G05760,1.8671
AT1G72130,1.8615
OEP37,1.8444
PTR6,1.8413
CPK20,1.8404
SULTR1;1,1.8265
SIP1;2,1.8211
MOT1,1.81
PHT1;2,1.8089
SULTR3;1,1.8038
MGT6,1.8025
AT1G20816,1.7995
GLR1.3,1.7875
AT3G06450,1.7762
ERS2,1.7761
AT3G56160,1.7377
CBL3,1.7326
T22C5.23,1.7259
AVP1,1.7259
