,CNGC10
HKT1,7.0292
TPC1,6.9503
AKT1,6.6732
KT2/3,5.7522
HAK5,5.6962
NHX1,4.9432
NHX2,4.7601
KAT3,4.5895
SOS3,4.4255
SKOR,4.2726
CIPK23,4.2655
CNGC10,4.1925
GLR1.4,4.1776
TPK4,4.1147
CBL1,4.1053
GLUR2,3.9533
CNGC14,3.9493
GLR2.1,3.9452
TRH1,3.9395
KCO6,3.8898
GLR1.1,3.8178
CNBT1,3.785
GORK,3.7665
KUP11,3.7383
CAX1,3.7208
KCO5,3.7099
CLC-E,3.6921
KUP1,3.6782
KEA3,3.6679
CNGC19,3.6625
RBOHD,3.6541
CLC-F,3.624
CLC-C,3.6134
KCO3,3.6046
GLR3.4,3.5443
ECA1,3.5404
KCO1,3.5112
KAT2,3.4771
CLC-B,3.4487
CNGC9,3.447
CNGC16,3.4446
KEA6,3.4434
At5g46330,3.4304
AT1G60160,3.4263
KUP6,3.4221
ALMT12,3.4203
CAX3,3.3948
CNGC13,3.3751
CNGC15,3.368
AT5G17850,3.3671
SOS1,3.3029
OZS1,3.2686
GLR1.3,3.2105
CNGC7,3.204
CBL10,3.1806
ATCHX13,3.1706
CNGC6,3.1244
CPK20,3.1133
AT5G33280,3.0892
SPIK,3.0609
SIP3,3.0101
CNGC3,2.946
At2g41560,2.9273
AT4G22990,2.8987
GLR2.7,2.8899
T22C5.23,2.8877
SLAH2,2.8555
KUP3,2.8432
KAT1,2.8417
CNGC11,2.8415
CAM7,2.8365
GLR2.9,2.833
CRK1,2.7646
NRT2:1,2.7451
MHX,2.739
KUP9,2.7028
CNGC8,2.6787
KUP10,2.6678
CHX17,2.6662
GLR3.3,2.6523
KT5,2.6488
CPK21,2.6465
GLR2,2.628
KT2,2.6257
SLAH1,2.6219
KUP7,2.6121
CPK14,2.6116
AT4G14480,2.594
AT4G04340,2.5738
KAB1,2.5673
NRT2.4,2.5516
NRT2.5,2.5463
CHX23,2.5301
CBL9,2.5211
CHX20,2.494
ATGLR1.2,2.4719
WR3,2.4626
CLC-D,2.4569
ECA3,2.447
SIP4,2.4373
CNGC18,2.4372
AT3G45700,2.3999
ACA9,2.3913
SLAH3,2.3877
GLR2.3,2.3826
CBL7,2.3674
NRT1.1,2.3482
CPK6,2.3393
AT5G49960,2.3272
ACA10,2.3257
GLR5,2.3053
UMAMIT1,2.2718
DND1,2.2711
AT3G03000,2.2336
AT3G45710,2.2321
VHA-A1,2.2014
CAM9,2.189
CAT6,2.1838
CAM6,2.1751
ProT3,2.1663
NRT2.7,2.1533
CNGC5,2.1507
CAM5,2.15
CNGC1,2.1375
BON2,2.1356
MSL9,2.1233
ALMT9,2.0935
LecRK-I.9,2.0878
BAK1,2.0861
NRT2.2,2.0598
GLR3.5,2.0527
CPK23,2.0396
NRT1.5,2.0386
PIP2A,2.0358
KEA1,2.0173
AT3G56760,2.0141
RBOHF,2.0078
AT1G49960,1.9968
MCA2,1.9896
AMT1;5,1.9714
AMT2,1.9449
AZG1,1.942
PP7,1.9415
AT2G25520,1.9051
At5g57110,1.876
SLAH4,1.867
ECA4,1.8232
MGT6,1.8213
AT1G73630,1.8192
DET3,1.8172
CBL2,1.8139
BOR4,1.8062
KUP5,1.806
CPK16,1.8026
CNGC12,1.7971
CBL5,1.7967
MSL3,1.7923
RHD2,1.7923
P5CS1,1.783
AT3G21670,1.7823
ERL2,1.7573
AT2G43850,1.756
CBL3,1.7488
VHA-A2,1.7447
AMT1;4,1.743
AT4G11170,1.7414
ACA11,1.7188
ECA2,1.7148
TOM2A,1.7084
NRT1.7,1.6976
CPK29,1.6934
BAS1,1.6924
CPK13,1.6901
PROT1,1.6862
ATPI,1.6802
GLB1,1.6715
CDPK6,1.6696
AVP1,1.6665
GLR2.8,1.6548
NIP1;2,1.6516
PCAP1,1.632
CPK33,1.6267
AT3G45810,1.6131
MCA1,1.613
AT3G59440,1.6101
EIN2,1.6084
GLR2.2,1.6026
AT1G02750,1.5995
PMT5,1.5893
MSL2,1.5771
AT2G26690,1.5744
GLR3.6,1.5691
CHX21,1.5663
TDT,1.5564
PROT2,1.553
CDPK19,1.5495
AMT1;1,1.5437
AT2G23790,1.536
VHA-A,1.5303
MSL10,1.5244
