,FZL
TOM40,9.8134
AT1G50400,7.2858
TOM22-V,7.1185
TOM22-I,6.8995
TIM10,6.2327
TIM9,5.7672
TIM13,5.6123
UCP3,5.3938
VDAC2,5.2959
AT3G27240,5.2938
TIM8,5.2026
MGP1,5.035
FZL,4.9871
AT5G40810,4.7536
TOM6,4.6325
TOC75-III,4.605
ATPI,4.5487
MPPBETA,4.5222
MIRO2,4.3969
VDAC1,4.3844
DIC3,4.3212
AT5G13430,4.3168
VDAC4,4.1718
VDAC3,4.0572
TIC40,3.9262
MEE67,3.8493
PHB3,3.8204
AT2G07698,3.8117
OEP80,3.7626
At2g41560,3.7399
AT5G42960,3.7367
AT1G18320,3.701
PPa6,3.6972
APX1,3.6349
Tic20-I,3.6171
AT4G29480,3.5979
TIC110,3.5827
TOC159,3.5663
OEP16-3,3.565
TOM5,3.5323
NAD4,3.5056
VDAC5,3.5026
mtHsc70-1,3.4952
AT4G26210,3.4874
YMF19,3.4661
AT1G45170,3.4434
MPPalpha,3.4216
ABCI5,3.409
UCP2,3.4045
APX3,3.3865
PPa4,3.3782
OEP37,3.3757
MCA2,3.3536
AT2G19680,3.343
MGE1,3.3254
TOC34,3.3104
FTSH11,3.2814
MSL3,3.2705
PETC,3.265
TOM20-3,3.2599
AT1G76405,3.2137
AT5G13440,3.2079
AT1G20816,3.1852
MSL2,3.1749
ATP3,3.1258
PETA,3.0981
TAPX,3.0876
AT5G21105,3.0738
ftsh4,3.0596
HSP60,3.0438
ATOEP16-4,3.0372
AT2G07695,2.9686
MSL9,2.9559
AT1G72820,2.9499
VHA-A2,2.9291
G1,2.9216
SAPX,2.8567
HSP60-3A,2.8549
MSL10,2.8425
TOM20-2,2.7214
AT2G07671.1,2.7183
PPa1,2.6804
DET3,2.6687
AR192,2.655
cob,2.6458
MORF1,2.6444
APX2,2.6407
emb1211,2.6234
AT5G63000,2.6181
AT4G00290,2.6118
TOC33,2.5821
DHAR1,2.5808
PNC1,2.5658
NDB1,2.5571
MSL6,2.5266
MTACP-1,2.5081
AT2G07768,2.4806
AT4G00895,2.4779
MORF9,2.4733
TOM20-4,2.4679
MSL5,2.4569
AT3G55640,2.4334
AT5G37610,2.419
ABCI4,2.3946
AT1G31410,2.3856
MCA1,2.3776
AT5G15640,2.3653
Cpn60beta2,2.3524
MEF21,2.3481
CPN60B,2.3215
VHP2;2,2.3201
AAC1,2.3103
DIC2,2.3077
ORF25,2.3024
AT3G20240,2.29
VHA-A1,2.2832
CHL,2.2809
AT5G51050,2.2701
TOM7-2,2.2613
AT5G27395,2.257
emb1473,2.2567
GulLO3,2.246
PDE334,2.2383
APX5,2.2319
PRXQ,2.2213
AT5G24650,2.2169
cpHsc70-1,2.2097
NTRC,2.2025
AT4G22840,2.1956
AT4G32060,2.1951
OWL1,2.19
AKR2,2.1853
AT1G74240,2.1827
GulLO2,2.1724
AT3G11630,2.1622
MORF4,2.1617
TOM20-1,2.1585
UCH3,2.1533
At5g06290,2.1401
AT3G53940,2.1398
ER-ANT1,2.1396
AT1G07030,2.1334
AT4G23620,2.1264
VHA-A,2.1264
AT5G66650,2.1163
VAG2,2.1064
AT2G37890,2.1057
AT4G36580,2.1006
AT5G01590,2.0715
AT2G17000,2.0667
ATPase,2.0512
UCP5,2.034
AT1G09575,2.0281
OEP16-1,2.0229
cpHsc70-2,2.0118
AT3G03060,1.9819
AT4G01380,1.979
AT4G22350,1.9752
EMB3137,1.9441
SDH4,1.9354
AT4G03115,1.9174
PRPL35,1.915
MSL4,1.9141
MSRA5,1.8866
AT5G21100,1.8864
ATWHY2,1.8802
GulLO5,1.8689
EMB2083,1.8664
ATSPO11-1,1.8581
ALPHA-VPE,1.8525
AT3G63380,1.8413
TOC120,1.8399
AT5G19760,1.8372
AT1G73340,1.8324
CPN10,1.831
AT1G53260,1.8242
AT1G57610,1.8212
emb2458,1.8145
AT5G55510,1.8114
AT5G26200,1.8108
AT4G26670,1.8088
VHA-A3,1.7852
AT5G14910,1.776
AT5G42610,1.7616
CAX3,1.7547
PER1,1.7544
AT5G60010,1.7529
AT2G27730,1.7516
SDH6,1.7495
PNC2,1.7486
AT1G58265,1.7475
OSB3,1.7459
AT4G36820,1.7264
MGT2,1.7246
NDB2,1.7235
PEX19-1,1.7226
AT2G28660,1.7158
AT3G11530,1.7139
AGY1,1.7036
sks11,1.6937
