,FZL
TOM40,9.2177
AT1G50400,6.8111
TOM22-V,6.6685
TOM22-I,6.4389
TIM10,5.8499
TIM9,5.4358
TIM13,5.2822
AT3G27240,5.1361
MGP1,5.1159
UCP3,5.0847
VDAC2,4.969
TIM8,4.9118
ATPI,4.7453
TOC75-III,4.6816
FZL,4.6325
AT5G40810,4.5836
MPPBETA,4.4011
TOM6,4.3262
AT5G13430,4.1707
MIRO2,4.1288
VDAC1,4.1122
TIC40,4.0437
DIC3,4.006
VDAC4,3.9057
OEP80,3.8794
VDAC3,3.7802
Tic20-I,3.7176
MEE67,3.6865
TOC159,3.6797
TIC110,3.6723
AT5G42960,3.6703
PHB3,3.6544
APX1,3.6386
AT1G18320,3.5614
AT2G07698,3.5537
PPa6,3.5076
APX3,3.5036
mtHsc70-1,3.4222
AT1G45170,3.4078
AT4G29480,3.4073
OEP16-3,3.3946
NAD4,3.3918
OEP37,3.3584
TOC34,3.3491
MPPalpha,3.3336
TOM5,3.3144
VDAC5,3.2815
MGE1,3.2651
PPa4,3.238
ABCI5,3.2135
AT4G26210,3.1901
AT5G21105,3.1759
UCP2,3.1757
FTSH11,3.1418
YMF19,3.1396
PETC,3.1357
AT1G20816,3.1248
AT5G13440,3.1206
AT1G76405,3.1145
TAPX,3.1004
MSL3,3.094
AT2G19680,3.0855
PETA,3.0759
TOM20-3,3.051
ATOEP16-4,3.0418
ATP3,3.0404
MCA2,3.0301
VHA-A2,3.0228
HSP60,3.0108
SAPX,2.9718
MSL2,2.9623
ftsh4,2.8781
HSP60-3A,2.8755
AT2G07695,2.8703
At2g41560,2.8517
G1,2.757
emb1211,2.7414
DHAR1,2.738
AT1G72820,2.722
MSL9,2.7145
DET3,2.6611
APX2,2.6568
TOC33,2.6116
MSL10,2.6099
AR192,2.5865
PPa1,2.5461
TOM20-2,2.5197
MORF1,2.5183
cob,2.5137
AT5G63000,2.51
Cpn60beta2,2.5052
APX5,2.5043
MTACP-1,2.5019
GulLO3,2.4634
AT2G07671.1,2.4406
AT4G00290,2.4392
AT1G74240,2.4355
AT2G07768,2.4233
CPN60B,2.4112
VHP2;2,2.3602
VHA-A1,2.3494
MSL6,2.3425
AT5G27395,2.3402
NDB1,2.3317
AAC1,2.305
TOM20-4,2.2945
VHA-A,2.2938
NTRC,2.2702
PNC1,2.263
AT5G51050,2.259
ABCI4,2.2514
ORF25,2.2509
cpHsc70-1,2.2491
AKR2,2.2429
VAG2,2.2395
AT1G31410,2.2273
AT5G24650,2.2248
MSL5,2.2235
GulLO2,2.2146
AT5G37610,2.2123
AT4G23620,2.2099
PRXQ,2.2074
MCA1,2.1884
AT4G36580,2.1779
TOM7-2,2.1769
OWL1,2.1642
At5g06290,2.1641
AT5G01590,2.1638
AT5G15640,2.1549
AT3G11630,2.1452
AT3G55640,2.1434
emb1473,2.136
AT2G27730,2.113
NDB2,2.1112
MORF9,2.1058
AT4G22840,2.0958
cpHsc70-2,2.0914
OEP16-1,2.085
AT3G03060,2.0848
UCH3,2.0822
CHL,2.0718
AT3G20240,2.0558
AT3G53940,2.0502
PDE334,2.0384
AT1G09575,2.0142
AT4G01380,2.0041
AT5G66650,1.9987
AT4G32060,1.9905
ER-ANT1,1.9723
AT2G37890,1.9701
MEF21,1.9672
MORF4,1.9362
SDH4,1.9282
EMB2083,1.9234
TOM20-1,1.912
AT4G22350,1.912
TOC120,1.9115
AT1G07030,1.8997
PRPL35,1.8955
emb2458,1.8834
AT2G17000,1.8799
AT4G00895,1.874
AT2G28660,1.8719
UCP5,1.8517
DIC2,1.8478
AT1G57610,1.8461
GulLO5,1.8404
VHA-A3,1.8343
MSL4,1.827
CPN10,1.8266
ATSPO11-1,1.8162
ATWHY2,1.8128
MSRA5,1.8083
sks11,1.7985
AT3G11530,1.791
ATPase,1.7811
CAX3,1.7804
AT5G19760,1.7618
AGY1,1.7365
AT5G55510,1.7353
AT1G58265,1.727
AT5G21100,1.7224
PER1,1.7201
AT4G26670,1.7178
AT5G60010,1.717
YCF1.2,1.7009
AT4G03115,1.6934
AT4G36820,1.6903
EMB3137,1.6867
OSB3,1.6865
AT5G14910,1.6864
TOC132,1.6813
AT5G26200,1.6812
SDH6,1.6773
AT5G42610,1.6767
AT3G63380,1.6554
AT2G23790,1.6512
MGT2,1.6396
VAR2,1.6313
emb2726,1.6209
