,GLR2.7
TPC1,8.0439
GLUR2,4.6981
GLR1.4,4.6343
GLR3.4,4.4036
GLR1.1,4.1878
GLR1.3,4.1353
GLR2.1,4.1193
AKT1,3.9402
GLR2.9,3.8772
ECA1,3.8004
CNGC14,3.7218
RBOHD,3.7147
GLR2.7,3.61
HKT1,3.6082
GLR2.3,3.6079
AT3G56760,3.5374
CAX1,3.5157
GLR5,3.4612
CPK20,3.4262
NHX1,3.4023
HAK5,3.3767
CNGC7,3.3095
CPK14,3.2895
AT4G26470,3.2609
AT1G21550,3.2535
AT3G24110,3.2062
AT1G12310,3.1738
AT3G47480,3.1067
RHD2,3.0975
AT3G01830,3.092
CNBT1,3.0772
CNGC16,3.0045
CAX3,2.9359
ATGLR1.2,2.9026
CNGC10,2.8899
AT5G39670,2.8777
CBL1,2.849
CRK1,2.8037
T22C5.23,2.8026
CML37,2.7981
CNGC19,2.796
CAM9,2.7816
CPK16,2.733
AT2G41410,2.7309
AT3G03400,2.729
GLR2,2.7237
CAM7,2.707
GLR3.3,2.7031
KT2/3,2.6975
AT2G23790,2.6717
CML41,2.6653
SOS3,2.6599
CBL6,2.6493
AT5G17850,2.645
CNGC9,2.5969
KCO1,2.5942
DND1,2.5785
AT3G10190,2.5781
AT3G03000,2.5719
GORK,2.5622
PCAP1,2.5512
AT1G09575,2.5348
AT4G32060,2.5222
AT1G57610,2.5171
At2g41560,2.516
PC1,2.5086
AT4G11170,2.4895
CIPK23,2.4881
MYB20,2.4815
AT1G62820,2.462
TOM2A,2.4481
AT3G03410,2.393
AT2G27480,2.3719
OZS1,2.3568
ACA9,2.3403
CNGC18,2.3388
CNGC8,2.3238
AT3G29000,2.3198
CNGC6,2.3041
CBL10,2.2835
NHX2,2.2791
SKOR,2.267
CNGC15,2.2654
AT1G02750,2.2651
AT3G10300,2.2445
RBOHF,2.2427
PP7,2.238
ACA10,2.2117
CAM5,2.2081
CML30,2.1758
CNGC11,2.1739
CNGC12,2.166
KAT3,2.1636
ECA3,2.1513
AT1G73630,2.1421
KCO3,2.1418
CBP60G,2.1362
CPK29,2.1338
AT4G04340,2.1177
GLR2.2,2.1103
GLR2.5,2.085
TRH1,2.0811
AT5G66650,2.076
AT4G14480,2.0701
SOS1,2.0682
CPK19,2.0626
CPK22,2.0593
APRR2,2.0489
GLR2.8,2.0466
CNGC13,2.0364
ECA4,2.0282
CPK31,2.0223
LecRK-I.9,2.0222
CPK33,2.0113
AT1G60160,2.0083
AT2G41090,1.9962
CPK6,1.9842
RSH2,1.9677
GLR3.5,1.9609
AT1G24620,1.9547
At5g57110,1.9446
ECA2,1.9216
CNGC5,1.9191
LOL2,1.9117
CDPK19,1.9006
AT3G45810,1.884
AT2G36180,1.8726
AT2G43850,1.8688
CRH1,1.8441
SIP3,1.8254
ATCHX13,1.823
TPK4,1.8174
AT3G59440,1.8075
CPK21,1.8025
AT1G73440,1.7704
CAM6,1.7698
GLR3.6,1.7662
AT3G18430,1.7524
AZG1,1.7498
AT3G03430,1.7373
SIP4,1.7297
AT5G49960,1.7184
KCO6,1.7181
PSBC,1.7176
BAP1,1.7072
CBL7,1.707
CPK17,1.7064
CML42,1.7003
PSBI,1.6991
AT1G72870,1.6956
BON2,1.6945
KUP1,1.6924
SLAH3,1.69
PSBE,1.6888
PDLP1,1.6865
CNGC3,1.6802
At5g46330,1.6781
AT3G25600,1.6768
CPK23,1.6751
AT4G03290,1.6712
CPK26,1.6667
PSBL,1.6622
CPK18,1.6579
CBL5,1.6565
AT3G19100,1.6419
AT1G32250,1.639
KAT2,1.623
CBL9,1.6225
ALMT12,1.6182
AT1G76640,1.6101
MHX,1.6067
AT4G36820,1.6007
CPK1,1.6004
KUP11,1.584
PSBF,1.5835
CLC-F,1.5766
ACA11,1.5741
RSL4,1.5651
TCH2,1.562
CML38,1.5537
AT4G22990,1.5474
At5g54490,1.5418
KUP6,1.5391
CLC-C,1.5328
XLG2,1.5224
PSBA,1.5204
TCH3,1.5166
SLAH2,1.5162
AT2G35330,1.5142
CPK25,1.5142
WAKL2,1.5104
AT3G59450,1.507
PSBB,1.5025
SYP122,1.491
PSBD,1.4762
CBL8,1.4738
CPK13,1.4724
PSBH,1.4709
SYP121,1.4626
KCO5,1.4514
