,GORK
AKT1,9.1482
HKT1,8.652
KT2/3,7.5284
TPC1,7.504
HAK5,7.1102
SOS3,6.1598
CBL1,6.0603
NHX2,5.9656
KAT3,5.9024
CIPK23,5.8959
NHX1,5.8537
SKOR,5.2623
OZS1,5.2045
ALMT12,4.9838
GORK,4.9766
KUP11,4.9296
KCO6,4.8844
CBL10,4.8077
KEA3,4.7546
RBOHD,4.733
TPK4,4.6657
KUP6,4.6356
KCO5,4.6011
TRH1,4.5129
KCO3,4.4949
KAT2,4.4551
SIP3,4.4481
SOS1,4.3877
CLC-E,4.3019
CLC-C,4.2247
KEA6,4.1778
CLC-F,4.1076
CLC-B,3.9961
AT1G60160,3.8875
KCO1,3.8846
CPK21,3.8709
KAT1,3.8703
CBL9,3.8519
KUP1,3.7883
CNGC10,3.7228
CNGC14,3.714
KUP3,3.6835
CNBT1,3.6766
SLAH2,3.6724
KUP9,3.6675
SIP4,3.6146
AT5G33280,3.5533
CAX1,3.5481
ECA1,3.52
GLR1.4,3.5095
KUP10,3.5052
CHX17,3.5043
NRT2:1,3.4378
ATCHX13,3.4363
CPK6,3.4229
SPIK,3.3861
GLR2.1,3.3847
SLAH3,3.3807
CPK20,3.3633
SLAH1,3.3626
CNGC19,3.3602
KAB1,3.3414
GLUR2,3.3404
RBOHF,3.2959
NRT2.4,3.2951
KT2,3.2932
GLR1.1,3.2685
CHX20,3.2639
ABI1,3.261
CPK23,3.2372
NRT2.5,3.231
AT4G22990,3.1888
AT5G17850,3.1784
KT5,3.1605
GLR3.4,3.1437
CNGC15,3.1223
CNGC13,3.1107
WR3,3.0796
AT3G45710,3.0478
CAX3,3.0413
CNGC9,3.0298
CBL5,3.0127
NRT1.1,3.0061
AT3G45700,3.006
PP2CA,2.9812
CBL7,2.9598
CAM7,2.9113
CNGC11,2.8669
CBL2,2.8546
CNGC16,2.8409
KUP7,2.8067
CHX23,2.7533
CNGC3,2.7177
CBL3,2.7047
T22C5.23,2.6909
CNGC7,2.6902
NRT1.5,2.6345
CPK14,2.6226
NRT2.7,2.6221
AT4G04340,2.6116
CRK1,2.5966
RHD2,2.5938
CNGC6,2.5814
NRT2.2,2.5697
At2g41560,2.5584
ATPI,2.5532
CLC-D,2.5506
AMT1;5,2.4749
DND1,2.47
AT3G59440,2.4676
KEA1,2.4485
OST1,2.4111
CDPK6,2.4056
GLR1.3,2.3909
P5CS1,2.3826
AT3G03000,2.3737
GLR2.7,2.3673
AT3G21670,2.3671
CAM6,2.3658
GLR2,2.3591
CNGC1,2.3339
GLR3.5,2.2985
ECA3,2.2679
ALMT9,2.2579
CNGC8,2.2515
CAM9,2.2299
CPK29,2.2189
GLR2.9,2.2098
MHX,2.1937
GLB1,2.174
CPK33,2.1721
GLR3.3,2.158
CAM5,2.1529
AMT2,2.1479
NRT1.7,2.1409
AT2G27240,2.1208
BON2,2.1048
KUP5,2.1032
GLU1,2.093
AMT1;4,2.0705
GLR2.3,2.0549
PCAP1,2.0438
CDPK19,2.0185
SLAH4,2.0066
CIPK20,1.993
ACA10,1.9909
CPK31,1.9841
AT1G49960,1.9827
GLT1,1.977
CHX18,1.9765
HAI1,1.9618
CDPK1,1.9596
CBL8,1.9494
CNGC18,1.9415
CPK16,1.9114
ACA9,1.9021
ABI2,1.9009
GLR5,1.8842
AMT1;1,1.8799
AT4G14480,1.8737
AT2G26690,1.868
AT5G49960,1.8638
CPK19,1.8525
NRT1.6,1.8498
ANNAT2,1.8475
CBL6,1.8415
CPK24,1.8357
MSL3,1.8265
EIN2,1.8259
MCA2,1.8177
ECA4,1.8137
AT2G23790,1.8062
TDT,1.8059
SYTA,1.7948
AT5G14880,1.7922
CNGC12,1.7909
ECA2,1.78
AT2G43850,1.7753
CNGC5,1.7648
AT1G73020,1.7546
AT3G45720,1.7537
ATGLR1.2,1.7531
CPK13,1.7526
LecRK-I.9,1.7433
CML41,1.7196
AT3G45660,1.7194
CPK17,1.7145
At5g57110,1.7071
CPK7,1.707
AVP1,1.6956
MSL9,1.6921
AT4G26470,1.6815
HT1,1.6768
NRT2.6,1.6747
PHT4;1,1.664
CPK22,1.6618
MSL2,1.6552
P5CS2,1.648
CPK4,1.648
ALMT6,1.6475
