,GORK
AKT1,9.5501
HKT1,8.8807
TPC1,7.6976
KT2/3,7.6721
HAK5,7.6326
SOS3,6.484
CBL1,6.3003
NHX1,6.2933
CIPK23,6.237
NHX2,6.2194
KAT3,5.9999
SKOR,5.5199
OZS1,5.3248
GORK,5.1826
ALMT12,5.0822
KUP11,5.018
KCO6,5.0163
CBL10,4.9296
TPK4,4.9227
KEA3,4.8733
RBOHD,4.8295
KAT2,4.7338
KUP6,4.703
SIP3,4.6583
SOS1,4.6548
KCO5,4.6283
KCO3,4.5532
TRH1,4.4997
CLC-E,4.4084
KEA6,4.2471
CLC-C,4.2442
CAX1,4.1737
CLC-F,4.1085
CBL9,4.1077
CNGC14,4.055
KAT1,4.0344
ECA1,4.0044
CNGC10,3.998
SLAH2,3.9401
KCO1,3.8862
AT1G60160,3.8798
CPK21,3.8721
KUP1,3.8663
SPIK,3.8372
CPK20,3.782
CNBT1,3.78
GLR1.4,3.7798
NRT2:1,3.765
KUP3,3.7481
CLC-B,3.7309
KUP9,3.7214
GLUR2,3.6629
KUP10,3.647
ATCHX13,3.6446
GLR1.1,3.6374
SIP4,3.6352
CHX17,3.6077
GLR2.1,3.5781
AT5G33280,3.5625
KT2,3.5413
NRT2.4,3.5344
WR3,3.5213
CAX3,3.5136
NRT2.5,3.508
GLR3.4,3.4871
KAB1,3.4784
SLAH3,3.4757
CPK6,3.4592
SLAH1,3.444
CNGC19,3.4259
CHX20,3.3953
ABI1,3.3766
AT5G17850,3.3701
CNGC16,3.3341
CNGC15,3.3123
AT3G45700,3.3076
NRT1.1,3.3015
CBL7,3.2853
CPK23,3.2835
RBOHF,3.2611
CNGC13,3.2606
CNGC7,3.1983
CHX23,3.1933
AT4G22990,3.1883
KT5,3.167
CAM7,3.1452
CNGC9,3.1138
PP2CA,3.0345
T22C5.23,3.0197
CNGC3,3.0101
AT3G45710,2.987
CBL2,2.9771
RHD2,2.9555
CNGC11,2.9204
NRT1.5,2.9052
CBL5,2.8894
NRT2.7,2.8723
CBL3,2.8578
NRT2.2,2.8573
KUP7,2.8241
CNGC6,2.7671
AMT1;5,2.7431
CRK1,2.741
SYTA,2.7401
GLR1.3,2.739
CLC-D,2.7302
AT4G04340,2.6987
GLR2.7,2.5983
P5CS1,2.5664
CIPK20,2.5499
AT3G21670,2.5437
ACA10,2.5369
AT3G03000,2.506
GLR2,2.4956
KEA1,2.4926
ECA3,2.4654
CDPK6,2.4641
OST1,2.4534
GLR3.5,2.4504
AMT2,2.4348
CAM6,2.43
GLB1,2.4184
CPK29,2.4182
CPK33,2.4029
GLR2.9,2.4029
MHX,2.391
NRT1.7,2.3895
ACA9,2.375
GLR3.3,2.3632
44470,2.3609
NDT1,2.3457
CPK19,2.3347
BON2,2.3156
KUP5,2.3132
AMT1;4,2.3018
AT3G59440,2.2979
CNGC1,2.2948
CNGC8,2.2946
CNGC18,2.2678
CAM5,2.2595
SLAH4,2.258
ICK3,2.2479
CAM9,2.2363
ALMT9,2.2321
GLU1,2.2288
GLT1,2.2096
At2g41560,2.1952
GLR5,2.1867
ECA4,2.153
AMT1;1,2.149
CHX18,2.1394
MCA2,2.1285
ATGLR1.2,2.1132
CBL8,2.0915
AT5G49960,2.0819
CPK31,2.0801
AT2G26690,2.075
CPK16,2.0669
CPK24,2.0577
AT2G27240,2.0553
CDPK19,2.0301
CPK26,2.0239
AT1G73630,2.0168
NRT1.6,2.0054
At5g57110,1.9925
AT1G49960,1.992
AT2G23790,1.9908
AT1G73020,1.9902
MSL9,1.9871
AVP1,1.9839
CDPK1,1.9828
CPK34,1.9752
PTR3,1.9745
ATPI,1.9619
CPK13,1.9532
CPK18,1.9318
LecRK-I.9,1.9172
NRT2.6,1.8773
ECA2,1.8772
ABI2,1.8755
MYB101,1.864
CPK17,1.8579
ACA11,1.8575
CML41,1.846
EIN2,1.8426
AT2G35330,1.8387
CPK25,1.8387
VHA-A,1.8233
CPK4,1.8082
AT1G57610,1.8074
CNGC5,1.8064
AT5G14880,1.8033
HT1,1.7989
NRT2.3,1.7938
HAI1,1.788
PHT4;1,1.7869
ABCG39,1.7805
CPK1,1.7759
AT2G25520,1.7723
MCA1,1.7664
