,IMPA-2
AT3G08943,3.9597
AT5G53480,3.8942
AT2G46520,3.7686
AT3G08947,3.5878
ABH1,3.3543
NOP56,3.2228
ATARCA,3.1932
AT4G27640,3.0813
NRPA2,3.0086
EMB2762,2.9996
NRPC2,2.8777
NRPB6B,2.7545
RACK1C_AT,2.7327
MAC3B,2.6518
SAD2,2.6488
TOZ,2.6374
NOF1,2.6047
IMP4,2.604
TIF3H1,2.5856
OLI2,2.5824
AT1G59660,2.555
MAC3A,2.5398
RACK1B_AT,2.5053
XPO1B,2.497
XPO1A,2.4856
HASTY,2.453
IMPA-4,2.4107
NUP155,2.4053
AT1G10390,2.3994
IMPA-2,2.3865
HEN2,2.379
RID3,2.3659
emb2386,2.3623
MOS4,2.3282
PSD,2.3228
emb1507,2.3123
YAO,2.2505
EIF2,2.2353
TRIP-1,2.2055
AT3G08960,2.2023
PRL1,2.1811
NRPC1,2.181
NRPB9B,2.1788
NRPB12,2.1649
SEH1H,2.1446
PFL,2.1227
AT2G36930,2.1157
NFD1,2.0495
eIFiso4G2,2.0223
EMB2753,2.0004
AT4G10320,1.9983
IMPA-1,1.9694
AGO1,1.9684
MAP2B,1.9239
RPL3P,1.9223
EMB2777,1.8713
LSM2,1.8556
RPB5D,1.8502
MEE49,1.8362
MOS14,1.8341
CID3,1.8337
IMPA-9,1.8228
AT2G32600,1.8225
NRPB6A,1.8064
AT5G26710,1.7975
RPL10B,1.7877
PGY1,1.7877
ASF1B,1.7839
AT1G26170,1.7645
NTF2A,1.7614
AT3G59020,1.7451
AT5G06120,1.7412
AT1G12470,1.7398
emb1441,1.7334
AT1G74250,1.7257
MDP40,1.7171
AT3G17340,1.7078
RAE1,1.7041
EMB2788,1.6948
emb1129,1.691
SmD3,1.6871
POP4,1.687
SE,1.6626
DECOY,1.6467
MAC5A,1.646
MAP1A,1.6452
RDR6,1.6403
SNRNP-G,1.6323
MEE21,1.616
ZFWD1,1.6079
AT2G24030,1.596
EIF4A-2,1.5882
TIN1,1.5742
EMB2754,1.561
AT1G72390,1.5591
PAB8,1.5529
AT5G08500,1.5383
IMPA-7,1.5271
AT1G72480,1.5188
AT1G10980,1.5147
EMB2765,1.5087
AT5G51980,1.5073
emb1027,1.5038
SETH5,1.4985
IQD30,1.4901
AT3G23145,1.4808
AT4G16444,1.4691
LOS1,1.4685
AGO10,1.4657
AT5G14460,1.464
IMPA-6,1.4619
EIF4A-III,1.4505
RRP41,1.4418
AT3G28670,1.4414
eIF6A,1.4413
NAP1;2,1.4412
ILA,1.4312
PYM,1.4283
emb1513,1.4248
AT3G05760,1.4158
EIF4A1,1.4029
OVA9,1.3981
CDC48C,1.3872
AT3G15680,1.3807
AT4G05400,1.3799
AT4G18720,1.3798
AT5G40310,1.3742
AT1G32880,1.3687
AT3G09360,1.3661
AT5G42560,1.3643
AT4G28990,1.3643
AT1G66810,1.3586
ATKRS-1,1.3547
AT5G18550,1.3542
AT4G19190,1.3528
U1A,1.3496
PSRP5,1.3448
UMAMIT23,1.3433
RPL34,1.334
AT2G45100,1.3237
TAF11,1.3218
CID11,1.321
UNE6,1.3169
TAF4,1.3147
AT2G28450,1.3146
TRM24,1.3131
MOB1-like,1.3055
AT1G55040,1.3015
EMB3010,1.2985
AT3G27700,1.2888
At2g16950,1.2855
EDA14,1.2825
emb1473,1.2816
AT1G73940,1.2805
FAS2,1.2711
EMB2799,1.2699
AT2G16960,1.2627
HTA9,1.2607
Iqd4,1.2592
AT5G03450,1.2586
AT1G30455,1.2525
TRZ3,1.2522
AT1G01350,1.247
EMB2369,1.2458
MORF4,1.2436
RDR2,1.2392
PAB4,1.2378
RUXF,1.2366
AT5G43620,1.229
PRH75,1.2281
NAP1;3,1.2274
MEF8S,1.2256
AT4G21140,1.2234
TIL1,1.2223
RPS10,1.2142
AT1G53260,1.2127
AT5G10630,1.2044
AT2G12880,1.1813
MEE65,1.1747
AT5G01160,1.1682
FZF,1.161
NACA3,1.1599
AT4G10680,1.1546
ELP2,1.1536
PRPL35,1.1519
MAC5B,1.1498
MORF1,1.1487
ECT3,1.1484
EMB2769,1.1473
AT1G48570,1.1451
AT1G72550,1.1281
AT2G25370,1.1279
CPZ,1.1223
PPR596,1.1124
AT3G47610,1.1092
AT1G01930,1.1092
ATO,1.1086
AT4G03260,1.1073
FER2,1.1057
AT1G21580,1.1042
