,0
0,AT5G49200
1,AT2G48100
2,RPS10B
3,MPB2C
4,AT4G37130
5,ERD15
6,GIF2
7,AT3G47120
8,AT3G52980
9,AT1G48540
10,EMB2247
11,RPL15
12,PRPL28
13,AT4G16830
14,AT5G65740
15,CPSF73-I
16,POLGAMMA2
17,AT2G01070
18,AT1G75340
19,AT5G47430
20,AT2G36480
21,AT3G17920
22,HUA1
23,AT3G44785
24,RPS15A
25,TIN1
26,AT1G72390
27,AT4G19190
28,UMAMIT23
29,UNE6
30,AT2G28450
31,TRM24
32,MOB1-like
33,EMB2799
34,AT5G03450
35,RDR2
36,PRH75
37,MEF8S
38,AT4G21140
39,RPS10
40,MEE65
41,NACA3
42,AT4G10680
43,ELP2
44,ECT3
45,PPR596
46,AT3G47610
47,AT1G01930
48,AT4G03260
49,FER2
