,ZIP7
IAR1,5.2238
ZTP29,4.7942
IRT1,4.6931
AT3G08650,4.3546
NRAMP4,3.9003
FRO2,3.786
ZAT,3.7285
VIT1,3.6364
NRAMP3,3.6351
ZIP11,3.5221
IREG2,3.4699
MTPA2,3.4158
IRT2,3.1551
OPT3,3.0974
OPT7,3.0952
YSL2,3.0596
YSL6,2.9586
WR3,2.9304
At1g10970,2.9208
OPT6,2.903
YSL3,2.856
YSL8,2.8259
NRAMP1,2.8028
YSL4,2.7697
NRT2:1,2.7379
OPT2,2.7004
ZIP8,2.6928
AMT1;4,2.6832
YSL1,2.6063
NRAMP5,2.567
NRT2.4,2.5658
ABCF5,2.5312
YSL7,2.4992
OPT9,2.4691
HMA1,2.4688
OPT5,2.4238
AMT1;5,2.4079
ABCB23,2.399
ZIP2,2.3967
PHT2;1,2.3936
ZIP3,2.3872
OPT1,2.3654
FRO7,2.3495
IRT3,2.3411
NRAMP2,2.3355
AT3G25190,2.3285
OPT8,2.3073
NRT2.2,2.3055
ZIP12,2.2947
ZIP10,2.2683
COPT2,2.2213
MTP11,2.2151
ZIP1,2.2081
AMT2,2.1659
AT5G45450,2.1419
ZIP5,2.1369
CCH,2.1041
ZIP9,2.104
ZIP7,2.0942
AT3G21690,2.0897
ABCB29,2.0805
ABCB24,2.0593
ABCB27,2.0398
BOR4,2.0335
OPT4,2.0271
NRT1.7,2.009
ABCC10,1.9795
bZIP23,1.9479
NRT1.1,1.9461
ABCG15,1.943
COPT5,1.9389
ABCF4,1.9068
GLB1,1.901
NRT2.6,1.8821
IREG3,1.8732
CHX18,1.8732
NAP7,1.8674
IREG1,1.8585
ABCB25,1.8579
ABCE2,1.8485
AT1G21140,1.8351
MHX,1.8279
YSL5,1.8113
AMT1;1,1.808
ABCF1,1.7736
NRT2.7,1.7553
PYE,1.754
NRT2.3,1.7468
bZIP19,1.7464
NRT1:2,1.7223
ABCG30,1.7094
ABCE1,1.7041
KEA1,1.6484
MGT1,1.6426
FRO4,1.6251
STN7,1.6237
44470,1.6202
NRT1.6,1.6112
ABCG34,1.6013
MGT4,1.5956
ABCF2,1.5809
NRT2.5,1.5771
ABCI11,1.5745
ABCG39,1.5715
NRAMP6,1.5575
HKT1,1.5482
AT5G52450,1.5477
At1g01590,1.54
ILA,1.5345
ABCC15,1.5337
KT2,1.521
ABCI17,1.5189
COPT1,1.5181
AT3G56160,1.5138
CAT7,1.5129
AT3G43630,1.4896
KUP1,1.4815
ABCB1,1.4726
ABCI12,1.4722
AT3G16180,1.4525
NRT1.5,1.4509
AMT1;2,1.4195
NDT1,1.4181
AT2G26690,1.4129
ABCF3,1.4027
AT5G19640,1.3743
PTR3,1.3543
PHT1;8,1.3504
GABP,1.3414
AT1G29820,1.3414
ATH13,1.3403
SULTR4;1,1.3326
KEA3,1.3237
GTR1,1.3233
TDT,1.3222
ECA3,1.3105
PNM1,1.3001
NIP6;1,1.2938
ZIP6,1.2932
UMAMIT1,1.2904
PCR2,1.2827
PHT1;1,1.2738
PHF1,1.2677
AT2G40460,1.2565
MOT1,1.2521
CLC-B,1.2421
PHT1;6,1.2403
ZIFL1,1.2359
AT1G27040,1.2229
ABCG20,1.2216
MGT7,1.2119
DiT2.2,1.2117
COPT3,1.2066
ABCC2,1.206
LHT1,1.2033
AT5G14940,1.1983
NRT1.9,1.1951
AT1G72130,1.1932
KUP11,1.1852
MGT6,1.179
ABCI9,1.1775
GONST2,1.1769
CJD1,1.1764
COPT4,1.1755
NDT2,1.1676
SULTR1;2,1.1669
FRO8,1.1653
AAT1,1.1637
GLU1,1.1598
AT1G69860,1.1582
KCO5,1.1503
COPT6,1.1489
ProT3,1.1473
AST91,1.1424
NHX2,1.1421
DIT2.1,1.1421
AT5G52050,1.1373
AT3G43660,1.1365
ABCB28,1.1349
KUP5,1.1317
NAXT1,1.1253
PHT1;5,1.1189
AT1G53820,1.1165
PHT4;5,1.1113
AT1G76570,1.1113
CUE1,1.1106
AT1G14040,1.1084
PTR1,1.1069
ABCA1,1.1057
AT1G59740,1.1001
UMAMIT20,1.0994
44472,1.0991
KAT3,1.0955
AT3G06450,1.0937
PHO1,1.0928
WLIM2b,1.0887
AT4G30370,1.0879
SULTR3;1,1.0878
ABCB26,1.0871
MET18,1.0811
