,ZIP7
IAR1,5.3129
ZTP29,4.8613
IRT1,4.7432
AT3G08650,4.4206
NRAMP4,3.9439
FRO2,3.8514
ZAT,3.7658
VIT1,3.7347
NRAMP3,3.6916
ZIP11,3.5643
IREG2,3.519
MTPA2,3.4732
IRT2,3.2
OPT7,3.1206
OPT3,3.0864
YSL2,3.0835
YSL6,2.9527
At1g10970,2.943
YSL3,2.9026
OPT6,2.8826
WR3,2.8649
NRAMP1,2.8597
YSL8,2.8461
YSL4,2.7849
OPT2,2.7296
ZIP8,2.7282
ABCF5,2.6622
NRT2:1,2.6508
AMT1;4,2.6243
YSL1,2.6128
NRAMP5,2.5289
HMA1,2.5016
NRT2.4,2.4928
YSL7,2.4735
ABCB23,2.4676
OPT9,2.4603
ZIP2,2.4171
FRO7,2.4123
OPT5,2.4081
ZIP3,2.3948
IRT3,2.3916
OPT1,2.3613
NRAMP2,2.3428
ZIP12,2.3325
AMT1;5,2.3255
PHT2;1,2.3154
OPT8,2.3014
AT3G25190,2.2849
ZIP10,2.2658
NRT2.2,2.2644
COPT2,2.2475
MTP11,2.231
ZIP1,2.2045
ABCB29,2.1924
ZIP5,2.1706
CCH,2.1599
AT5G45450,2.1359
ZIP9,2.1291
AMT2,2.1272
ABCB24,2.1091
ZIP7,2.1056
ABCB27,2.0975
AT3G21690,2.0687
OPT4,2.0319
NAP7,2.0276
BOR4,2.0082
bZIP23,1.9713
ABCC10,1.9679
COPT5,1.9658
NRT1.7,1.9608
ABCB25,1.9307
ABCG15,1.919
IREG3,1.9091
IREG1,1.9032
ABCE2,1.9016
NDT1,1.8912
NRT1.1,1.8837
ABCF4,1.881
AT1G21140,1.8751
CHX18,1.872
GLB1,1.8554
NRT2.6,1.8367
MHX,1.8229
YSL5,1.8019
ABCF1,1.7926
STN7,1.7858
AMT1;1,1.7774
PYE,1.7726
bZIP19,1.7482
NRT1:2,1.7441
NRT2.7,1.7432
ABCE1,1.7296
ABCF2,1.7224
NRT2.3,1.7058
ABCG30,1.7048
MGT1,1.6669
FRO4,1.6306
ABCG34,1.6303
KEA1,1.5959
MGT4,1.5953
At1g01590,1.587
AT5G52450,1.5745
ABCG39,1.5638
NRT1.6,1.5623
ILA,1.5494
ABCC15,1.5485
NRT2.5,1.5461
NRAMP6,1.5423
AT3G43630,1.5174
HKT1,1.5007
ABCI17,1.4964
ABCB1,1.4941
CAT7,1.4853
KT2,1.4791
ABCF3,1.4738
AT5G19640,1.4655
COPT1,1.4649
ATH13,1.4503
AT3G56160,1.4458
AT1G29820,1.4458
KUP1,1.4377
NRT1.5,1.4167
ABCI12,1.4003
AT3G16180,1.3959
44470,1.3873
ABCI11,1.3872
AT2G26690,1.3764
PHT1;8,1.3721
AMT1;2,1.3634
GABP,1.3525
ZIP6,1.3337
SULTR4;1,1.3182
ABCI9,1.3103
TDT,1.3059
ABCC2,1.3053
PTR3,1.3047
ECA3,1.3009
GTR1,1.2933
FRO8,1.289
KEA3,1.2883
AT1G27040,1.2746
PCR2,1.2659
ZIFL1,1.2591
PHF1,1.2471
COPT3,1.2445
AT2G40460,1.2338
NDT2,1.2337
AT1G76570,1.2329
PHT1;1,1.2302
UMAMIT1,1.2262
NIP6;1,1.2248
MOT1,1.217
ABCG20,1.2078
AT5G14940,1.2034
MGT7,1.2012
COPT4,1.2006
PHT1;6,1.2004
AT1G72130,1.1977
COPT6,1.1908
AT1G69860,1.1849
DiT2.2,1.1836
AT3G43660,1.1802
KUP5,1.1799
NRT1.9,1.1745
MET18,1.1694
LHT1,1.1599
ABCG19,1.1543
CUE1,1.1514
KUP11,1.1463
SULTR1;2,1.1459
AT5G52050,1.1456
WLIM2b,1.1404
AAT1,1.1382
MGT6,1.1327
CLC-B,1.1325
FRO3,1.1239
ABCB26,1.1203
AT1G53820,1.1176
KCO5,1.1141
PHT1;5,1.1109
AT4G30370,1.1057
PTR1,1.1044
SULTR3;1,1.1039
DIT2.1,1.1036
LrgB,1.1001
NAXT1,1.0998
AST91,1.0977
AT5G49130,1.0944
GONST2,1.0899
AT3G06450,1.0849
UMAMIT20,1.0841
ABCG32,1.0829
AT1G26730,1.0819
ZIFL2,1.0812
ProT3,1.0783
NHX2,1.0754
KAT3,1.0752
AT1G14040,1.0728
ABCG31,1.0728
TAAC,1.0658
